0001,選挙において、支持する政党や候補者が一定していない有権者が持つ票のことを、漢字３文字で何というでしょう？,浮動票
0002,1989年、小学校１・２年生の理科と社会に代わって導入された科目は何でしょう？,生活〈科〉
0003,児童福祉法の定義では、「児童」とは何歳未満のことを指しているでしょう？,18歳
0004,ハンフリー・ボガート演じるリック・ブレインが発する「君の瞳に乾杯」というセリフが有名な、マイケル・カーティス監督の映画は何？,『カサブランカ』
0005,別名を「白鷺城」という、世界遺産にも登録されている兵庫県のお城はどこでしょう？,姫路城
0006,中耳の内部にある３つの耳小骨とは、つち骨、きぬた骨と何でしょう？,あぶみ骨
0007,相手の言った言葉をそっくりそのまま言い返すことを、ある鳥の名前を用いて何というでしょう？,おうむ返し
0008,埼玉県、山梨県、静岡県、愛知県、岐阜県、富山県、新潟県、群馬県の8つと、最も多くの都道府県と接している県はどこでしょう？,長野県
0009,「鉄の女」の異名を取った、1979年にイギリス初の女性首相に就任した政治家は誰でしょう？,マーガレット・サッチャー
0010,企業の設備投資に起因し、約10年周期で発生する景気の循環のことを、これを主張したフランスの経済学者の名をとって「誰の波」という？,ジュグラーの波
0011,そのタイトルは、夕方に白い綿毛をつけて飛ぶ虫のことを指している、伊豆湯ヶ島で過ごした少年時代を描いた、井上靖の自伝小説は何でしょう？,『しろばんば』
0012,別名を「セイヨウショウロ」というキノコで、キャビア・フォアグラとともに「世界三大珍味」とされるのは何でしょう？,トリュフ
0013,腕時計の針を動かすためについている、横にあるつまみは何でしょう？,竜頭(りゅうず)
0014,攻撃側をレイダー、守備側をアンティという、1チーム7人で競われる南アジアのスポーツは何でしょう？,カバディ
0015,ボストーク1号に搭乗し、1961年に世界初となる有人宇宙飛行に成功したソ連の宇宙飛行士は誰でしょう？,ユーリ・ガガーリン
0016,「小さな樽」という意味の名前があるイタリアの画家で、代表作に『春』や『ヴィーナスの誕生』があるのは誰でしょう？,サンドロ・ボッティチェリ
0017,英語で「親指の爪」という意味がある、画像や印刷ページなどを縮小表示したものを何というでしょう？,サムネイル
0018,カジノゲーム・ブラックジャックにおいて、プレイヤーが目指す手札の合計値はいくつでしょう？,21
0019,播磨・肥前・常陸・豊後・出雲のものが写本として残されている、713年ごろから元明天皇の命により各国で作成されたとされる書物は何でしょう？,風土記
0020,化学実験で蒸留を行う際に使われる、中央の細いガラス管と、それを取り巻く外套管からなる冷却器のことを何というでしょう？,リービッヒ冷却器
0021,コンサートの際に配られる、演奏する曲の順番を記した一覧表のことを何というでしょう？,セットリスト
0022,『カペリート』や『ピングー』といった作品に代表される、粘土を用いて作ったキャラクターや背景を、１コマずつ撮影することで動きを与えるアニメ作品のことを何というでしょう？,クレイアニメ
0023,お互いに自由に技を掛け合う、柔道の練習法は何でしょう？,乱取り
0024,松尾芭蕉がここで｢閑(しずか)さや岩にしみ入る蝉(せみ)の声｣という句を詠んだことで知られる、山形県にある天台宗のお寺は何でしょう？,立石寺
0025,『花鏡(かきょう)』や『風姿花伝』といった理論書を残している、父の観阿弥とともに能の大成者となった人物は誰でしょう？,世阿弥(ぜあみ)
0026,別名を「氷上のチェス」という、平昌五輪で女子日本代表が銅メダルを取ったことでもお馴染みのスポーツは何でしょう？,カーリング
0027,乳がん検診で用いられる、乳房を圧迫してレントゲン撮影を行う検査のことを何というでしょう？,マンモグラフィー
0028,1560年、大軍を率いる今川義元を織田信長が少数の軍勢で討ち取った戦いは何でしょう？,桶狭間の戦い
0029,表ソフト、裏ソフト、粒高などの種類がある、卓球のラケットに貼るものは何でしょう？,ラバー
0030,信濃国の薗原(そのはら)にあったとされる伝説の木で、紫式部の『源氏物語』の第2巻の巻名にもなっているのは何でしょう？,帚木
0031,左右に分けられる漢字の左側を「へん」というのに対し、右側を何というでしょう？,つくり
0032,船を操縦するうえで重要な、水に浮かんでいる船の船体が、水面と接している線のことを｢何線｣というでしょう？,喫水線
0033,湖畔に立つ辰子姫の像でも有名な秋田県にある湖で、その最大深度が423メートルと、日本で一番深い湖として知られるのは何でしょう？,田沢湖
0034,ドイツ語で「黒い森」という意味をもつ、ドイツ南部に広がる森林地帯を何というでしょう？,シュバルツバルト
0035,久留米市があるのは福岡県ですが、東久留米市があるのはどこの都道府県でしょう？,東京都
0036,普墺戦争敗北後のオーストリア国民を鼓舞するために作曲された、｢オーストリアの第二国歌｣の異名をとる、ヨハン・シュトラウス2世のワルツは何でしょう？,『美しく青きドナウ』
0037,大相撲で、弓取式が終わった後に叩かれる、一日の取り組みの終了を示す太鼓を何というでしょう？,跳ね太鼓
0038,｢小さなスズメ｣を意味する芸名を名乗った、『水に流して』、『了愛の讃歌』、『バラ色の人生』などのシャンソンを残したフランスの国民的歌手は誰でしょう？,エディット・ピアフ
0039,今から１万2000年後には北極星となる、こと座のα星は何でしょう？,ベガ
0040,もともとは戸締まりをするためのつっかい棒を意味した、現在では護衛のために雇う腕利きの者を指す言葉は何でしょう？,用心棒
0041,その名はかつて薬莢に用いられたことに由来する、封筒や包装用紙に使われる褐色のクラフト紙のことを何というでしょう？,ハトロン紙
0042,向かい風のことを「逆風」というのに対して、追い風のことを何というでしょう？,順風
0043,眠っている人を夢の中で襲う殺人鬼フレディ・クルーガーの恐怖を描く、ウェス・クレイブン監督のホラー映画は何でしょう？,『エルム街の悪夢』
0044,えらや内臓を取り除いたニシンを2枚におろし、天日干しにしたものを何というでしょう？,身欠きニシン
0045,フランク・ロイド・ライトが設計したカタツムリの殼のような外観で知られる、ニューヨークにある美術館は何でしょう？,グッゲンハイム美術館
0046,一般的なポケットビリヤードの台に、ポケットはいくつ空けられているでしょう？,6つ
0047,百年戦争で、劣勢にあったフランス軍を救う活躍を見せ「オルレアンの少女」と呼ばれたフランスの女性は誰でしょう？,ジャンヌ・ダルク
0048,｢行かなきゃ会えない音がある｡｣をキャッチコピーとして2009年に始まった、全国のお店で働く人たちの投票によって決められる音楽賞は何でしょう？,CＤショップ大賞
0049,一日中見ていても飽きないことから「日暮らし門」とも呼ばれる、日光東照宮にある有名な門は何でしょう？,陽明門
0050,ロボロフスキー、ゴールデン、ジャンガリアンなどの品種がある、ペットとしてもおなじみのキヌゲネズミ科の動物は何でしょう？,ハムスター
0051,ナイアガラの滝を構成する三つの滝とはアメリカ滝、カナダ滝と同でしょう？,ブライダルベール滝
0052,英語では「ビッグディッパー」と呼ばれる、おおぐま座の主要な7つの星のことを何というでしょう？,北斗七星
0053,ロシア語で「大きい」という意味がある、オペラやバレエで有名なロシア・モスクワの劇場は何でしょう？,ボリショイ劇場
0054,「キャッチャーボート」とは、どんな生き物を捕る船のことでしょう？,クジラ
0055,化学式C11H17N3O8で表される、アカハライモリやフグの毒の主成分は何でしょう？,テトロドトキシン
0056,1979年に『風の歌を聴け』でデビューした、代表作に『海辺のカフカ』や『ノルウェイの森』がある作家は誰でしょう？,村上春樹
0057,UNESCOやＮATOなどのように、アルファベットの略称を、あたかも実在する単語のように発音することを何というでしょう？,アクロニム《△:頭字語》
0058,和名を「アケボノスギ」という、生きている化石の１つとされる樹木は何でしょう？,メタセコイア
0059,フランス語で「稲妻」という意味がある、細長いシュークリームの上にチョコレートをかけたお菓子は何でしょう？,エクレア
0060,1円切手の肖像にも描かれている、日本の近代郵便制度を創始し、「郵便の父」とも呼ばれる人物は誰でしょう？,前島密
0061,ウィンストン・チャーチルやマーガレット・サッチャーの葬儀が執り行われたことでも知られる、イギリス・ロンドンにある聖堂は何でしょう？,セント・ポール大聖堂
0062,別名をコモリネズミやフクロネズミなどという、南北アメリカ大陸に生息する、ネズミによく似た有袋類は何でしょう？,オポッサム
0063,富士山や浅間山から噴出した火山灰が堆積して形成された、関東地方の台地や丘陵を覆う粘土質の地層は何でしょう？,関東ローム層
0064,『酒は涙か溜息』や『柔』などの歌謡曲の作曲を手掛け、1978年に、王貞治についで二人目に国民栄誉賞を受賞した作曲家は誰でしょう？,古賀政男
0065,食料の輸送が環境に与える負荷を表すのに用いられる、食料の輸送量に輸送距離を掛けた値のことを何というでしょう？,フードマイレージ
0066,正式には「船島」という、宮本武蔵と佐々木小次郎が決闘を行った山口県下関市の無人島はどこでしょう？,巌流島(がんりゅうじま)
0067,バイオリンにある4本の弦で、最も低い音が出るのは何線でしょう？,G線
0068,「密閉容器中の流体がある一点で圧力を受けると、その力をそのままの強さで流体の他の全ての部分に伝える」という法則のことを誰の法則と言うでしょう？,パスカルの法則
0069,選挙において、当選する見込みが非常に薄いとみなされている候補者のことを、「泡のように儚い」という意味で何というでしょう？,泡沫候補
0070,フランス語で｢古い制度｣という意味がある、聖職者や貴族が特権階級として君臨していた中世フランスの政治体制を何というでしょう？,アンシャン・レジーム
0071,ジュール・ヴェルヌの小説『海底二万マイル』で、舞台となる潜水艦の名前は何でしょう？,ノーチラス号
0072,敷地面積に対する建築面積の割合のことを何というでしょう？,建ぺい率
0073,福井県・吉田郡にある町の名前にもなっている、1244年に道元によって建立され、神奈川県の總持寺(そうじじ)と共に日本における曹洞宗の大本山となっている寺はどこ？,永平寺
0074,民謡『よさこい節』で、坊さんがかんざしを買った、と歌われる土佐の橋の名前は何でしょう？,はりまや橋
